DateTime,AirportDistance,AltAGL,AltMSL Lag Diff,amp1,amp2,AOASimple,CAS,Coordination Index,E1 CHT Divergence,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT Divergence,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,E1 FFlow,E1 OilP,E1 OilT,E1 RPM,FQtyL,FQtyR,GndSpd,HAL,HDG,HPLfd,IAS,LatAc,LOC-I Index,NAV1,NAV2,NormAc,OAT,Pitch,Roll,RunwayDistance,Stall Index,TAS,Total Fuel,TRK,volt1,volt2,VPLwas,VSpd,VSpd Calculated,VSpdG
1203,1404.478937,8,-62.4,2.3,0.1,5.259210724,60.707,47.99359125,22.13,305.4,283.27,300.53,302.68,141.45,1112.16,1025.57,1167.02,1107.44,1.2,41.51,182.42,850.4,14.59,19.34,61.17,3704,213.4,14,57.2,0.07,0.168272273,109.2,110.1,0.04,28.2,4.7,-1.79,3.480398369,0.350614048,59,33.93,210,27.8,27.9,14,-413.37,-60,-39.4
9271,2512.38791,15,-90.2,0,-0.1,3.372127082,72.16,65.24147017,32.56,266.97,271.46,271.8,299.53,487.71,628.21,1013.27,575.94,1063.65,1.45,49.44,182.7,1009.1,17.37,15.99,76.12,556,234.3,11.5,72.16,-0.04,0.146668352,110.3,110.3,-0.03,31,1.49,1.57,7.339289468,0.224808472,75,33.36,233.2,28.1,28,13,-441.91,-240,-208.7
868,466.7522212,3,-8.5,-1.7,-0.5,1.907212456,51.005,5.095958026,20.25,316.59,296.34,312.35,314.16,147.51,1034.96,938.54,1086.05,1058.04,1.22,40.7,184.09,776.4,14.52,18.86,46.42,3704,211.2,14.5,43.34,0.03,0.006479383,109.2,110.1,-0.04,29,2.24,0.91,5.585901322,0.127147497,45,33.38,210.3,26.5,26.7,14,39.71,30,-39.4
1902,937.9151234,23,15,2.1,0.1,3.035210026,63.675,16.76742661,26.93,301.04,274.11,293.34,291.08,21.81,1228.78,1236.71,1244.23,1250.59,15.38,61.68,178.97,2409.4,13.05,16.73,65.59,3704,209.5,12,61.44,0.05,0.033928441,109.2,110.1,-0.02,29.2,8.91,-0.51,3.443722363,0.202347335,63,29.78,210.8,28.1,28.1,14,306.83,660,468.5
1878,1337.517191,11,-71.7,1.9,0,5.195470435,60.035,99.82832523,27,302.08,275.08,294.38,294.7,49.18,1196.53,1168.67,1215.68,1166.5,2.73,48.67,180.59,1364.8,13.95,17.52,60.78,3704,209.8,12,56.24,-0.01,0.345770075,109.2,110.1,0.08,28.8,4.63,-1.31,0.055458348,0.346364696,58,31.47,210.7,28.1,28.1,14,-299.26,-60,-149.6
16714,1027.933154,4,0.6,2.7,0.1,5.858552376,58.824,18.35968809,7.64,274.33,281.97,274.8,275.37,60.3,1190.57,1234.23,1173.93,1195.89,15.73,73.84,162.58,2346,16.86,17.92,54.6,1852,133.9,16.5,54.51,-0.04,0.071707463,116.2,114.3,-0.03,22.8,5.57,0.57,2.325347472,0.390570158,56,34.78,132.5,28,27.9,16,-84.59,-30,19.7
870,320.4691721,1,-5.7,-2.7,-0.7,1.704110482,49.073,3.655067335,20.2,316.02,295.82,311.93,313.72,175.53,1016.86,892.36,1067.89,1043.15,1.2,40.36,184,757.6,14.06,19.06,44.18,3704,210.7,13.5,40.58,-0.05,0.004152426,109.2,110.1,0,29,2.05,1.05,8.455383282,0.113607365,42,33.12,210.5,26.4,26.6,14,51.02,30,-39.4
1215,351.1491283,1,-8.6,6.5,0.3,6.664277843,50.872,7.425033148,22.22,302.23,280.01,298.41,299.51,218.36,998.74,823.38,1041.74,1019.77,7.59,54.91,181.83,1521.2,14.01,17.89,46.98,3704,210.5,14.5,43.15,0,0.032988323,109.2,110.1,0.03,28.8,3.66,0.29,5.540832694,0.44428519,45,31.9,209.9,28.1,28.1,14,-52.21,-270,-43.3
1899,509.0976554,11,-1.3,2.4,0.1,4.319465314,57.487,23.23877146,27.01,299.75,272.74,292.48,290.88,27.48,1197.42,1187.71,1215.19,1211.39,15.37,60.59,179.04,2386.4,12.84,17.44,60.36,3704,210.6,12.5,52.6,-0.01,0.066919378,109.2,110.1,-0.04,29.2,4.91,-0.42,1.774788784,0.287964354,54,30.28,210.2,28.1,28.1,14,-65.14,60,19.7
1212,586.3094368,3,-12,-2.7,-0.3,1.598920242,51.012,12.1036832,22.15,303.16,281.01,299.06,300.32,241.76,1000.45,811.52,1053.28,1032.19,1.21,40.63,181.97,763.5,13.72,18.78,48.69,3704,209.6,14.5,43.35,-0.05,0.012901883,109.2,110.1,0.04,28.8,2.93,0.78,7.072014421,0.106594683,45,32.5,209.4,26.6,26.6,14,69.19,120,-39.4
